"Species","Sex","Pop","Ages","lx","px","qx","Lx","Tx","ex"
"Loxodonta africana","Female","Amboseli",15,0.786254506133238,0.97953216374269,0.0204678362573099,0.777886183319422,20.7937189454314,26.4465497917384
"Loxodonta africana","Female","Amboseli",16,0.770161577645131,0.982089552238806,0.0179104477611941,0.762078329564533,20.015832762112,25.9891344142524
"Loxodonta africana","Female","Amboseli",17,0.756367638941039,0.993920972644377,0.00607902735562316,0.754666386500867,19.2537544325474,25.4555502394363
"Loxodonta africana","Female","Amboseli",18,0.751769659373008,0.990825688073394,0.00917431192660556,0.74903386153003,18.4990880460466,24.6073884672005
"Loxodonta africana","Female","Amboseli",19,0.744872690020962,0.972222222222222,0.0277777777777778,0.736228488433064,17.7500541845165,23.8296482369585
"Loxodonta africana","Female","Amboseli",20,0.724181781964824,0.99047619047619,0.0095238095238096,0.719940145813316,17.0138256960835,23.4938604088081
"Loxodonta africana","Female","Amboseli",21,0.717284812612778,0.971153846153846,0.0288461538461536,0.706691067688036,16.2938855502702,22.716060989662
"Loxodonta africana","Female","Amboseli",22,0.696593904556641,0.993399339933993,0.00660066006600668,0.694271924874785,15.5871944825821,22.3763004249985
"Loxodonta africana","Female","Amboseli",23,0.69199592498861,1,0,0.69199592498861,14.8929225577073,21.5216911254968
"Loxodonta africana","Female","Amboseli",24,0.69199592498861,0.986710963455149,0.0132890365448506,0.685443804104166,14.2009266327187,20.5216911254968
"Loxodonta africana","Female","Amboseli",25,0.682799965852549,0.973063973063973,0.026936026936027,0.672247602743918,13.5154828286146,19.7942054840894
"Loxodonta africana","Female","Amboseli",26,0.664408047580426,0.968858131487889,0.0311418685121108,0.650223280613052,12.8432352258707,19.3303426601196
"Loxodonta africana","Female","Amboseli",27,0.643717139524288,0.982142857142857,0.0178571428571429,0.639762877095782,12.1930119452576,18.9415679599091
"Loxodonta africana","Female","Amboseli",28,0.632222190604212,0.970922608989524,0.0290773910104763,0.62300752546856,11.5532490681618,18.2740328319075
"Loxodonta africana","Female","Amboseli",29,0.613838818762513,0.9812734082397,0.0187265917602998,0.609240775176276,10.9302415426933,17.8063706767982
"Loxodonta africana","Female","Amboseli",30,0.602343709796923,0.984732824427481,0.0152671755725189,0.596941008583096,10.321000767517,17.1347365294089
"Loxodonta africana","Female","Amboseli",31,0.593147622624451,0.961240310077519,0.0387596899224807,0.580548983198164,9.72405975893389,16.393996010485
"Loxodonta africana","Female","Amboseli",32,0.57015740469327,0.983870967741935,0.0161290322580645,0.567973333989809,9.14351077573572,16.0368184302626
"Loxodonta africana","Female","Amboseli",33,0.560961317520798,0.963131475130915,0.0368685248690849,0.55186131835513,8.57553744174591,15.2872170930538
"Loxodonta africana","Female","Amboseli",34,0.540279501235188,0.948953500797557,0.0510464992024432,0.53110935833983,8.02367612339078,14.8509727003283
"Loxodonta africana","Female","Amboseli",35,0.51270012410629,0.982062780269058,0.0179372197309416,0.510906823223766,7.49256676505095,14.6139359301143
"Loxodonta africana","Female","Amboseli",36,0.503503709324114,0.981735159817352,0.0182648401826484,0.500813758000328,6.98165994182719,13.8661539379702
"Loxodonta africana","Female","Amboseli",37,0.494307294541939,0.981395348837209,0.0186046511627906,0.488720472561767,6.48084618382686,13.1109661042581
"Loxodonta africana","Female","Amboseli",38,0.485110879759763,0.933649289099526,0.066350710900474,0.463131448430363,5.99212571126509,12.3520744664241
"Loxodonta africana","Female","Amboseli",39,0.452923428022148,0.964467005076142,0.0355329949238578,0.444784600939923,5.52899426283473,12.2073487939872
"Loxodonta africana","Female","Amboseli",40,0.436829702153341,0.963157894736842,0.036842105263158,0.427679269445077,5.08420966189481,11.6388826969236
